"Ref Calipso","","","","","","","","","Sex","Sise","",""
"Ordn","Gr","Sg","S","Sx","Nombre Comercial","","Nombre Cientifico","","Sex","Sise","$Bruto","$Bruto"
"MOLUSCOS","","","","","","","","","","","",""
"1400","05","11","1","3","Platys","Rojo Coli Negro","Xiphophorus","maculatus","N","3cm","  650 ","  715.0 "
"1400","05","11","2","3","Platys","Rojo Coli Negro","Xiphophorus","maculatus","N","4cm","  900 ","  990.0 "
"1400","05","11","1","3","Platys","Manchado","Xiphophorus","maculatus","N","3cm","  650 ","  715.0 "
"1400","05","11","2","3","Platys","Manchado","Xiphophorus","maculatus","N","4cm","  900 ","  990.0 "
"1400","05","12","2","3","Platys","Velo Aleta Dorsal","Xiphophorus","variatus","N","4.5cm","  1,200 ","  1,320.0 "
"1400","05","13","1","3","Platys ","Variatus Amarillo ","Xiphophorus","variatus","N","3cm","  650 ","  715.0 "
"1400","05","13","2","3","Platys ","Variatus Amarillo ","Xiphophorus","variatus","N","4cm","  900 ","  990.0 "
"1400","05","14","1","3","Platys ","Variatus Negro","Xiphophorus","variatus","N","3cm","  650 ","  715.0 "
"1400","05","14","2","3","Platys ","Variatus Negro","Xiphophorus","variatus","N","4cm","  900 ","  990.0 "
"ANABANTIDOS","","","","","","","","","","","",""
"1500","01","01","1","1","Beta","Hembra (Hormonada)","Beta","splendens","H","3.5cm","  2,500 ","  2,750.0 "
"1500","01","01","1","1","Beta","Corona","Beta","splendens","M","3.5cm","  2,650 ","  2,915.0 "
"1500","01","01","2","1","Beta","Corona","Beta","splendens","M","4.5cm","  4,500 ","  4,950.0 "
"1500","01","01","3","1","Beta","Corona","Beta","splendens","M","5.5cm","  6,700 ","  7,370.0 "
"1500","01","02","1","1","Beta","Half Moon","Beta","splendens","M","3.5cm","  2,650 ","  2,915.0 "
"1500","01","02","2","1","Beta","Half Moon","Beta","splendens","M","4.5cm","  4,500 ","  4,950.0 "
"1500","01","02","4","1","Beta","Half Moon","Beta","splendens","M","5.5cm","  6,700 ","  7,370.0 "
"1500","01","02","3","1","Beta","Dragon","Beta","splendens","M","4.5cm","  8,000 ","  8,800.0 "
"1500","05","03","2","1","Colisa","Lalia Estandar","Colisa","lalia","M","3.5cm","  2,600 ","  2,860.0 "
